generation,bestFit,avgFit,worstFit
1,108.71826062058253,185.1590116167766,268.523845921572
2,106.92573892488822,211.74098256660153,270.9473690492656
3,106.67719733406823,230.01737259288402,288.2673589153273
4,106.58694734411283,236.1760306668033,290.7505584731619
5,106.58233071831994,243.31165774238724,290.6668270739259
6,106.5777085171572,244.63054793523872,292.89069297706317
7,106.5731163011934,251.4352887859745,294.7351432388925
8,106.5685541458653,251.11525165114597,295.44768436672626
9,106.56402212603452,252.08900912709248,294.65588419243045
10,106.559520315986,251.31318054100663,295.84903653696426
11,106.55504878942669,249.92346557984598,290.6012881507712
12,106.55060761948397,250.0187139537016,292.69593537118845
13,106.54619687870432,251.21820956659047,292.8727299832777
14,106.54181663905196,250.96146005343923,295.36749723998673
15,106.53746697190734,250.3288578690018,295.4631846254659
16,106.53314794806583,249.3165984695151,294.4286298220302
17,106.52885963773639,252.93832080782946,296.88235970433294
18,106.52460211054013,250.10683290650283,293.0576429771309
19,106.520375435509,249.23081992392162,291.8060103061223
20,106.51617968108442,252.1409616874154,292.11898624554453
21,106.51201491511607,252.34571181048184,296.52368120064807
22,106.50788120486044,250.3694806395357,296.45825958393453
23,106.50377861697959,251.26568898002205,291.2628672229317
24,106.49970721753985,252.10314972564305,295.40990368746384
25,106.49566707201056,255.06468279089708,298.5345414482081
26,106.49165824526281,255.37191104872232,298.6654764420904
27,106.48768080156813,257.4752139944765,299.7531222116231
28,106.4837348045973,257.5392135256096,296.25667951099945
29,106.47982031741911,253.79490414331843,296.74986339339614
30,106.47593740249913,257.7979494917703,298.61898166873203
31,106.47208612169847,259.2193239557502,299.30556601302186
32,106.46826653627265,253.545499958445,295.063416846194
33,106.46447870687037,254.83445516729986,295.4154870315736
34,106.46072269353236,254.15547201607689,295.6751162000932
35,106.4569985556902,250.82019259116035,292.9654069251987
36,106.45330635216516,254.08637224288563,298.88494779597204
37,106.44964614116711,256.00241284408435,296.923323844105
38,106.44601798029335,252.02088481178927,293.64684847516406
39,106.44242192652747,248.11800387563892,290.3289877335813
40,106.43885803623836,251.6902023738845,291.68809931241594
41,106.435326365179,251.30308351876857,295.2363264592003
42,106.43182696848542,247.7266701163165,292.4508500512827
43,106.4283599006757,247.9721489503354,296.73045302893456
44,106.42492521564876,252.05990644389715,294.7948028318272
45,106.4215229666835,253.16122595150657,296.7127583569168
46,106.41815320643764,253.74009594301003,298.27704539017145
47,106.41481598694675,253.66228292484965,296.5256614731342
48,106.41151135962328,252.32890315976098,294.7788436777236
49,106.40823937525543,253.40630986763887,296.2802107842082
50,106.40500008400636,255.80121884290764,296.5565813671044
51,106.40179353541309,255.91822377243395,296.67290885132087
52,106.39861977838551,253.13321807906794,293.7995070326116
53,106.39547886120559,252.89777541436405,295.1864243454802
54,106.39237083152629,253.8048415190483,294.65613341352054
55,106.38929573637073,253.13454729956703,295.74256084976116
56,106.38625362213124,251.74361517640878,294.7027823086307
57,106.38324453456848,249.85487632930702,294.8358492720872
58,106.3802685188105,254.17238470835028,295.8805843064955
59,106.37732561935202,256.9857088750084,299.48424985055084
60,106.37441588005338,252.47519038421396,295.1981240353904
61,106.37153934413976,254.50631281776492,295.15491326982436
62,106.36869605420044,252.13750292104513,295.2367956153028
63,106.36588605218785,252.15613285564447,292.80028667680796
64,106.36310937941681,250.91375764784092,295.34934562887344
65,106.36036607656371,252.44362369031583,295.42849589765564
66,106.35765618366575,254.68629393443726,298.4943095897712
67,106.35497974012016,253.0607392522071,294.51692625130414
68,106.35233678468344,252.3244702701886,297.04468536097824
69,106.34972735547056,260.3885431377417,301.5667813587321
70,106.34715148995433,257.7034989877542,299.12118233131065
71,106.34460922496454,253.91605088358517,295.7857544622097
72,106.34210059668739,254.42700569549942,296.55670919937177
73,106.33962564066464,252.6778646762405,295.26738602507487
74,106.33718439179304,251.91175449763384,296.086955580092
75,106.33477688432366,253.14219420907784,295.3449561844816
76,106.33240315186109,250.6516648623958,295.8585657594274
77,106.33006322736293,248.9817329561899,295.4009477232924
78,106.32775714313912,250.2650417981735,294.1446388609377
79,106.32548493085127,250.8500699839183,296.40584879565887
80,106.3232466215121,255.08818362749022,297.33422335447335
81,106.3210422454848,254.48195553957893,299.545251657108
82,106.31887183248247,251.0048852334369,293.5654305203964
83,106.31673541156752,253.394429271704,295.64848950929075
84,106.31463301115113,251.79186789331683,295.5552458735799
85,106.31256465899273,253.989551132106,297.04318462949345
86,106.31053038219936,251.36569066826544,294.4570649645655
87,106.30853020722525,254.01661016849695,295.95253760523514
88,106.30656415987126,251.02923289471377,293.8113754969982
89,106.30463226528443,252.10053668073343,295.2535733278022
90,106.3027345479574,251.56241920329592,295.7189535156659
91,106.300871031728,251.23985137052625,293.3995165911268
92,106.2990417397788,251.82695892308976,298.0496400450385
93,106.29724669463663,254.6627117984248,297.95366285329885
94,106.29548591817216,250.38059438818118,295.2761568041493
95,106.29375943159948,257.1170244196289,298.32464921186255
96,106.29206725547569,256.5638170843186,297.4708488829484
97,106.29040940970042,255.24926598449923,294.2543865618776
98,106.28878591351561,251.07315097773574,294.3853665293938
99,106.28719678550503,253.33087697143694,296.3104139111787
100,106.2856420435939,250.64910765077744,295.211178474734
