generation,bestFit,avgFit,worstFit
1,74.04213791460975,166.11093554460524,266.2212943428142
2,66.46347120976128,157.24514840588392,246.4888611747346
3,55.66419396180336,148.92880710172545,221.970727587841
4,46.73631088073251,141.1762314595927,211.05929570171597
5,38.98724501719515,133.88690793845424,201.97622389016405
6,33.54720078464405,127.02659313270759,192.30903263414936
7,27.437436087899687,120.58742375485826,184.00530443819707
8,23.152173899312533,114.5455243753055,174.77941299936776
9,19.534936022219146,108.86402919604403,164.74418038656586
10,15.583953287532081,103.58519313618397,163.9716281975485
11,13.556174553233697,98.66807667589579,155.20871562794136
12,11.655995063102408,94.09418177853632,150.23754782757516
13,10.228679753707512,89.83398353560274,149.13166751412325
14,9.066302432835075,85.88351511339256,145.2452504344538
15,8.005204913475202,82.23580820103508,144.45216655625137
16,7.104537860062307,78.85254349101939,142.6541911677731
17,6.516332387077671,75.71617184747514,137.69737582778876
18,5.881886298956714,72.81131549494665,134.43001435392742
19,5.187466715816311,70.11653259990298,138.7311757937742
20,4.490591517836991,67.61472651647507,137.7674033119708
21,3.9282371474843116,65.28835005672342,135.57198979416228
22,3.738629158223418,63.11957633426726,134.47519714879854
23,3.307094503010384,61.094311061129254,137.63155706626975
24,2.9669687756637773,59.192843380785455,132.4400596319576
25,2.6258300537994104,57.432675163544296,132.4505993493528
26,2.4025669740448716,55.76333326629803,125.7548665530916
27,2.1751587184954744,54.208045169914506,125.7961716289212
28,2.0145974000286744,52.7480170798569,130.82205824313365
29,1.7124164848006904,51.37455993384523,130.14856289540032
30,1.538767971287527,50.07177599604183,128.53110209789392
31,1.4097021045683147,48.83850879297717,124.53927762291637
32,1.2553520656592205,47.67376461043208,132.08770871367392
33,1.1237775397739225,46.579081429321576,130.20887473722692
34,1.0436521874776286,45.53589637142192,128.19767803856928
35,0.9741498783947536,44.54444759645916,133.06488131648257
36,0.9121084457470924,43.600804793839615,126.14237167960226
37,0.8328025460476584,42.70708896587614,124.83846108112
38,0.7852066768824183,41.86269266589776,126.26074996259796
39,0.74730636231498,41.05557420110324,130.36868686465252
40,0.7291590429846703,40.280594189893606,126.44650935410077
41,0.6787264187710595,39.53991265244489,132.3451071944231
42,0.6497927315500109,38.8277219132506,127.57559071039458
43,0.5999331216127987,38.15309257288522,126.0866423600473
44,0.5749246314535019,37.513131439791245,131.25596555433518
45,0.5444618324589153,36.90135627996633,129.14427115938918
46,0.51837798001559,36.30930416872766,127.87452226808433
47,0.4977538108880927,35.73869475419334,130.4348779223262
48,0.484141924290067,35.19464917463378,127.50462419155613
