generation,bestFit,avgFit,worstFit
1,80.91776092000003,186.8423442229359,283.73342598361165
2,78.67569390405905,188.0984060514664,286.0640436598498
3,77.04993238311324,188.9685324166907,285.4328684892705
4,75.90231845846597,189.6117803205835,289.611419444619
5,74.73050352327638,190.13196134093752,288.377390638348
6,74.73050352327638,190.5505773386825,287.93219190492397
7,74.01421194865124,190.88089024486064,291.6734108229818
8,73.04114165063646,191.11358723593986,287.1624100477717
9,72.24161279376868,191.36136509304586,290.7890096432267
10,71.99723423304697,191.52919383071333,287.12134175978684
11,71.40296540560652,191.6747519456639,286.98954787671636
12,71.40296540560652,191.8110456060111,289.5300713801963
13,71.03655794106702,191.9146020191973,289.50752374205234
14,70.76020584263847,192.00768404823935,289.9660970727048
15,70.76020584263847,192.10695049327808,286.6228145018871
16,69.66415737116388,192.16210435862013,290.53604588789756
17,69.33341122539022,192.21569636636266,290.4007715383719
18,68.54860690805572,192.27776523826452,287.45399111996886
19,68.03590026409589,192.3294002249127,289.72194294068487
20,67.71502992145918,192.36660354914912,290.0988018717729
21,66.84707109823678,192.40661468215205,290.2247290235428
22,66.30640190026735,192.45533369060018,288.83055851806347
23,66.30640190026735,192.48902112397093,290.31279665719546
24,66.30640190026735,192.52060660596243,287.91189703338506
25,65.90581231219213,192.54937227464765,289.11916733636036
26,65.90581231219213,192.56812658890468,290.5275395836834
27,65.55267668261469,192.56982108656837,288.03669556975376
28,65.26076793481164,192.57448936125184,289.0044718410433
29,65.19311024904,192.5840671944232,287.6104623544965
30,65.19311024904,192.58744819450163,291.11561397350783
31,65.19311024904,192.6051219890665,290.725212483598
32,65.19311024904,192.62309767485763,291.5822081992644
33,65.12740911760294,192.63424023978104,290.49156936286937
34,65.05100355318804,192.64724686831596,291.79121911824615
35,64.43397691624787,192.6533574126176,290.88291606858195
36,63.792204735852955,192.65704481697247,289.0543302557651
37,63.65820506961436,192.66489468500484,291.00045751915894
38,63.65820506961436,192.66766792090095,289.1113968713527
39,63.65820506961436,192.68126139828658,288.9658971404851
40,62.74419659172767,192.69044696947765,287.22038992989917
41,62.74419659172767,192.69659332089893,286.6369957061566
42,62.478416340606955,192.70994369388785,289.26350573647426
43,62.478416340606955,192.71910430331107,290.80300165339156
44,62.30796126031135,192.72448468228558,288.471115571109
45,62.18332726878986,192.7256254647285,290.3076677086954
46,62.18332726878986,192.72878557721384,291.19460191573825
47,62.17385319499983,192.7367605108603,289.67294862994277
48,62.17385319499983,192.743430011469,291.4230524838749
49,62.17385319499983,192.74912026888003,288.8166739694477
50,62.17385319499983,192.75311835317868,290.6516052844233
51,62.1661078094737,192.75553016173237,288.7160405157712
52,62.1661078094737,192.75473041916763,290.58310305343446
53,61.70848509446149,192.7524610047711,289.5150333552834
54,61.70848509446149,192.7602804064032,288.7791225847634
55,61.70848509446149,192.76637792342711,289.42798712911207
56,61.427698402141196,192.77116115245644,290.8038130563882
